Customer_id,Recency,Frequency,Total,R,F,M,RFM_score
CUSTOMER_00042,103,1,50.92,4,1,1,411
CUSTOMER_00043,247,1,171.32,3,1,4,314
CUSTOMER_00044,551,1,239.64000000000001,1,1,5,115
CUSTOMER_00045,107,1,465.4,4,1,5,415
CUSTOMER_00046,70,1,226.72000000000003,5,1,5,515
CUSTOMER_00047,182,1,186.27,3,1,4,314
CUSTOMER_00048,81,1,72.26,5,1,2,512
CUSTOMER_00049,416,1,809.6999999999999,1,1,5,115
CUSTOMER_00050,178,1,36.69,3,1,1,311
CUSTOMER_00051,183,1,157.12,3,1,4,314
CUSTOMER_00052,385,1,232.22,1,1,5,115
CUSTOMER_00053,54,1,151.6,5,1,4,514
CUSTOMER_00054,123,1,77.3,4,1,2,412
CUSTOMER_00055,125,1,304.55,4,1,5,415
CUSTOMER_00056,161,1,18.77,4,1,1,411
CUSTOMER_00057,83,1,128.48,5,1,4,514
CUSTOMER_00058,484,1,146.20999999999998,1,1,4,114
CUSTOMER_00059,254,1,187.53,2,1,4,214
CUSTOMER_00060,303,1,27.68,2,1,1,211
CUSTOMER_00061,237,1,150.15,3,1,4,314
CUSTOMER_00062,322,1,46.78,2,1,1,211
CUSTOMER_00063,325,1,252.42000000000002,2,1,5,215
CUSTOMER_00064,131,1,55.36,4,1,2,412
CUSTOMER_00065,215,1,372.52,3,1,5,315
CUSTOMER_00066,307,1,251.28,2,1,5,215
CUSTOMER_00067,215,1,29.0,3,1,1,311
CUSTOMER_00068,495,1,61.1,1,1,2,112
CUSTOMER_00069,140,1,62.31,4,1,2,412
CUSTOMER_00070,128,1,133.28,4,1,4,414
CUSTOMER_00071,434,1,80.57,1,1,2,112
CUSTOMER_00072,501,1,27.71,1,1,1,111
CUSTOMER_00073,53,1,350.19,5,1,5,515
CUSTOMER_00074,89,1,52.260000000000005,5,1,1,511
CUSTOMER_00075,276,1,28.41,2,1,1,211
CUSTOMER_00076,126,1,59.78,4,1,2,412
CUSTOMER_00077,43,1,40.269999999999996,5,1,1,511
CUSTOMER_00078,75,1,247.69,5,1,5,515
CUSTOMER_00079,131,1,328.17,4,1,5,415
CUSTOMER_00080,60,1,137.23,5,1,4,514
CUSTOMER_00081,298,1,253.05,2,1,5,215
CUSTOMER_00082,106,1,61.38,4,1,2,412
CUSTOMER_00083,36,1,148.2,5,1,4,514
CUSTOMER_00084,92,1,158.94,5,1,4,514
CUSTOMER_00085,120,1,267.76,4,1,5,415
CUSTOMER_00086,337,1,22.33,2,1,1,211
CUSTOMER_00087,238,1,61.01,3,1,2,312
CUSTOMER_00088,216,1,216.62,3,1,5,315
CUSTOMER_00089,228,1,75.66999999999999,3,1,2,312
CUSTOMER_00090,490,1,163.46,1,1,4,114
CUSTOMER_00091,357,1,109.29,2,1,3,213
CUSTOMER_00092,125,1,346.21,4,1,5,415
CUSTOMER_00093,90,1,69.97,5,1,2,512
CUSTOMER_00094,30,1,50.76,5,1,1,511
CUSTOMER_00095,313,1,51.629999999999995,2,1,1,211
CUSTOMER_00096,379,1,256.33,1,1,5,115
CUSTOMER_00097,427,1,144.26,1,1,4,114
CUSTOMER_00098,539,1,251.28,1,1,5,115
CUSTOMER_00099,320,1,36.78,2,1,1,211
CUSTOMER_00100,154,1,67.22,4,1,2,412
CUSTOMER_00101,57,1,142.78,5,1,4,514
CUSTOMER_00102,105,1,95.39999999999999,4,1,3,413
CUSTOMER_00103,353,1,164.26000000000002,2,1,4,214
CUSTOMER_00104,435,1,24.09,1,1,1,111
CUSTOMER_00105,537,1,200.36,1,1,4,114
CUSTOMER_00106,61,1,21.38,5,1,1,511
CUSTOMER_00107,363,1,196.66,2,1,4,214
CUSTOMER_00108,82,1,54.22,5,1,1,511
CUSTOMER_00109,49,1,48.269999999999996,5,1,1,511
CUSTOMER_00110,62,1,72.34,5,1,2,512
CUSTOMER_00111,60,1,103.14,5,1,3,513
CUSTOMER_00112,105,1,165.83,4,1,4,414
CUSTOMER_00113,64,1,122.02000000000001,5,1,3,513
CUSTOMER_00114,441,1,47.74,1,1,1,111
CUSTOMER_00115,533,1,185.61,1,1,4,114
CUSTOMER_00116,451,1,261.76,1,1,5,115
CUSTOMER_00117,402,1,62.07,1,1,2,112
CUSTOMER_00118,328,1,97.71000000000001,2,1,3,213
CUSTOMER_00119,343,1,214.32,2,1,5,215
CUSTOMER_00120,234,1,43.089999999999996,3,1,1,311
CUSTOMER_00121,337,1,33.589999999999996,2,1,1,211
CUSTOMER_00122,245,1,175.88,3,1,4,314
CUSTOMER_00123,172,1,122.5,3,1,3,313
CUSTOMER_00124,306,1,99.42999999999999,2,1,3,213
CUSTOMER_00125,111,1,100.26,4,1,3,413
CUSTOMER_00126,109,1,248.4,4,1,5,415
CUSTOMER_00127,364,1,57.68,2,1,2,212
CUSTOMER_00128,533,1,679.43,1,1,5,115
CUSTOMER_00129,434,1,34.0,1,1,1,111
CUSTOMER_00130,209,1,35.4,3,1,1,311
CUSTOMER_00131,161,1,273.58,4,1,5,415
CUSTOMER_00132,83,1,60.39,5,1,2,512
CUSTOMER_00133,333,1,17.85,2,1,1,211
CUSTOMER_00134,388,1,103.55000000000001,1,1,3,113
CUSTOMER_00135,248,1,756.49,3,1,5,315
CUSTOMER_00136,137,1,201.37,4,1,4,414
CUSTOMER_00137,30,1,68.15,5,1,2,512
CUSTOMER_00138,77,1,124.76,5,1,3,513
CUSTOMER_00139,199,1,102.64,3,1,3,313
CUSTOMER_00140,507,1,130.22,1,1,4,114
CUSTOMER_00141,182,1,55.53,3,1,2,312
CUSTOMER_00142,264,1,45.93000000000001,2,1,1,211
CUSTOMER_00143,537,1,175.85,1,1,4,114
CUSTOMER_00144,95,1,38.37,4,1,1,411
CUSTOMER_00145,126,1,409.5,4,1,5,415
CUSTOMER_00146,82,1,858.3100000000001,5,1,5,515
CUSTOMER_00147,75,1,26.29,5,1,1,511
CUSTOMER_00148,317,1,56.620000000000005,2,1,2,212
CUSTOMER_00149,380,1,198.02999999999997,1,1,4,114
CUSTOMER_00150,262,1,183.79000000000002,2,1,4,214
CUSTOMER_00151,357,1,96.8,2,1,3,213
CUSTOMER_00152,54,1,698.45,5,1,5,515
CUSTOMER_00153,75,1,780.16,5,1,5,515
CUSTOMER_00154,101,1,126.47,4,1,3,413
CUSTOMER_00155,434,1,159.14000000000001,1,1,4,114
CUSTOMER_00156,52,1,137.01,5,1,4,514
CUSTOMER_00157,206,1,118.17,3,1,3,313
CUSTOMER_00158,114,1,65.39,4,1,2,412
CUSTOMER_00159,59,1,307.18,5,1,5,515
CUSTOMER_00160,140,1,1221.39,4,1,5,415
CUSTOMER_00161,6,1,1930.34,5,1,5,515
CUSTOMER_00162,165,1,31.77,4,1,1,411
CUSTOMER_00163,426,1,1058.1,1,1,5,115
CUSTOMER_00164,173,1,169.71,3,1,4,314
CUSTOMER_00165,56,1,78.28,5,1,2,512
CUSTOMER_00166,497,1,129.0,1,1,4,114
CUSTOMER_00167,231,1,63.61,3,1,2,312
CUSTOMER_00168,230,1,105.36999999999999,3,1,3,313
CUSTOMER_00169,27,1,110.33,5,1,3,513
CUSTOMER_00170,63,1,962.41,5,1,5,515
CUSTOMER_00171,57,1,66.39,5,1,2,512
CUSTOMER_00172,240,1,72.2,3,1,2,312
CUSTOMER_00173,513,1,222.68,1,1,5,115
CUSTOMER_00174,292,1,310.7,2,1,5,215
CUSTOMER_00175,545,1,38.95,1,1,1,111
CUSTOMER_00176,167,1,80.21000000000001,4,1,2,412
CUSTOMER_00177,161,1,136.99,4,1,4,414
CUSTOMER_00178,309,1,319.41,2,1,5,215
CUSTOMER_00179,154,1,57.620000000000005,4,1,2,412
CUSTOMER_00180,133,1,236.81,4,1,5,415
CUSTOMER_00181,483,1,145.6,1,1,4,114
CUSTOMER_00182,504,1,35.86,1,1,1,111
CUSTOMER_00183,201,1,157.21,3,1,4,314
CUSTOMER_00184,524,1,104.7,1,1,3,113
CUSTOMER_00185,16,1,193.98000000000002,5,1,4,514
CUSTOMER_00186,112,1,141.96,4,1,4,414
CUSTOMER_00187,237,1,266.69,3,1,5,315
CUSTOMER_00188,232,1,144.86,3,1,4,314
CUSTOMER_00189,247,1,125.52,3,1,3,313
CUSTOMER_00190,161,1,165.8,4,1,4,414
CUSTOMER_00191,109,1,198.13,4,1,4,414
CUSTOMER_00192,204,1,132.54,3,1,4,314
CUSTOMER_00193,261,1,90.17,2,1,3,213
CUSTOMER_00194,140,1,173.88,4,1,4,414
CUSTOMER_00195,49,1,201.14,5,1,4,514
CUSTOMER_00196,129,1,229.79000000000002,4,1,5,415
CUSTOMER_00197,264,1,148.06,2,1,4,214
CUSTOMER_00198,333,1,153.51999999999998,2,1,4,214
CUSTOMER_00199,295,1,75.66,2,1,2,212
CUSTOMER_00200,179,1,72.38,3,1,2,312
CUSTOMER_00201,147,1,57.13,4,1,2,412
CUSTOMER_00202,329,1,153.2,2,1,4,214
CUSTOMER_00203,188,1,266.52,3,1,5,315
CUSTOMER_00204,192,1,57.77,3,1,2,312
CUSTOMER_00205,195,1,35.0,3,1,1,311
CUSTOMER_00206,96,1,57.69,4,1,2,412
CUSTOMER_00207,231,1,128.94,3,1,4,314
CUSTOMER_00208,456,1,147.17000000000002,1,1,4,114
CUSTOMER_00209,350,1,111.33000000000001,2,1,3,213
CUSTOMER_00210,39,1,43.379999999999995,5,1,1,511
CUSTOMER_00211,154,1,153.2,4,1,4,414
CUSTOMER_00212,69,1,65.75999999999999,5,1,2,512
CUSTOMER_00213,299,1,33.269999999999996,2,1,1,211
CUSTOMER_00214,92,1,51.55,5,1,1,511
CUSTOMER_00215,437,1,63.11,1,1,2,112
CUSTOMER_00216,86,1,68.13,5,1,2,512
CUSTOMER_00217,89,1,114.27,5,1,3,513
CUSTOMER_00218,288,1,415.97,2,1,5,215
CUSTOMER_00219,43,1,392.31000000000006,5,1,5,515
CUSTOMER_00220,191,1,49.34,3,1,1,311
CUSTOMER_00221,125,1,249.94,4,1,5,415
CUSTOMER_00222,58,1,46.29,5,1,1,511
CUSTOMER_00223,248,1,120.05000000000001,3,1,3,313
CUSTOMER_00224,89,1,128.85,5,1,4,514
CUSTOMER_00225,126,1,122.83999999999999,4,1,3,413
CUSTOMER_00226,395,1,198.95000000000002,1,1,4,114
CUSTOMER_00227,95,1,142.17000000000002,4,1,4,414
CUSTOMER_00228,462,1,416.87,1,1,5,115
CUSTOMER_00229,102,1,82.94,4,1,2,412
CUSTOMER_00230,497,1,54.739999999999995,1,1,2,112
CUSTOMER_00231,403,1,120.09,1,1,3,113
CUSTOMER_00232,42,1,58.37,5,1,2,512
CUSTOMER_00233,333,1,85.24,2,1,3,213
CUSTOMER_00234,247,1,75.07,3,1,2,312
CUSTOMER_00235,89,1,38.37,5,1,1,511
CUSTOMER_00236,136,1,38.22,4,1,1,411
CUSTOMER_00237,12,1,77.47999999999999,5,1,2,512
CUSTOMER_00238,119,1,277.52,4,1,5,415
CUSTOMER_00239,38,1,54.95,5,1,2,512
CUSTOMER_00240,83,1,50.87,5,1,1,511
CUSTOMER_00241,400,1,69.49,1,1,2,112
CUSTOMER_00242,386,1,55.01,1,1,2,112
CUSTOMER_00243,353,1,65.0,2,1,2,212
CUSTOMER_00244,95,1,202.08,4,1,5,415
CUSTOMER_00245,265,1,94.3,2,1,3,213
CUSTOMER_00246,389,1,167.29,1,1,4,114
CUSTOMER_00247,326,1,70.03999999999999,2,1,2,212
CUSTOMER_00248,346,1,51.5,2,1,1,211
CUSTOMER_00249,97,1,235.92,4,1,5,415
CUSTOMER_00250,63,1,58.05,5,1,2,512
CUSTOMER_00251,137,1,66.71,4,1,2,412
CUSTOMER_00252,50,1,66.73,5,1,2,512
CUSTOMER_00253,246,1,46.79,3,1,1,311
CUSTOMER_00254,288,1,87.36,2,1,3,213
CUSTOMER_00255,153,1,90.88000000000001,4,1,3,413
CUSTOMER_00256,287,1,25.09,2,1,1,211
CUSTOMER_00257,432,1,507.17,1,1,5,115
CUSTOMER_00258,21,1,214.13,5,1,5,515
CUSTOMER_00259,36,1,156.73000000000002,5,1,4,514
CUSTOMER_00260,50,1,34.379999999999995,5,1,1,511
CUSTOMER_00261,386,1,31.839999999999996,1,1,1,111
CUSTOMER_00262,318,1,223.5,2,1,5,215
CUSTOMER_00263,165,1,99.69,4,1,3,413
CUSTOMER_00264,405,1,206.68,1,1,5,115
CUSTOMER_00265,239,1,276.46999999999997,3,1,5,315
CUSTOMER_00266,246,1,413.16999999999996,3,1,5,315
CUSTOMER_00267,335,1,319.57,2,1,5,215
CUSTOMER_00268,272,1,74.6,2,1,2,212
CUSTOMER_00269,34,1,174.11,5,1,4,514
CUSTOMER_00270,427,1,168.20000000000002,1,1,4,114
CUSTOMER_00271,402,1,63.99,1,1,2,112
CUSTOMER_00272,402,1,165.25,1,1,4,114
CUSTOMER_00273,341,1,329.0,2,1,5,215
CUSTOMER_00274,34,1,237.55,5,1,5,515
CUSTOMER_00275,33,1,86.78999999999999,5,1,3,513
CUSTOMER_00276,511,1,42.51,1,1,1,111
CUSTOMER_00277,26,1,57.33,5,1,2,512
CUSTOMER_00278,184,1,61.37,3,1,2,312
CUSTOMER_00279,39,1,171.22,5,1,4,514
CUSTOMER_00280,248,1,64.1,3,1,2,312
CUSTOMER_00281,248,1,55.6,3,1,2,312
CUSTOMER_00282,280,1,56.01,2,1,2,212
CUSTOMER_00283,171,1,67.63,4,1,2,412
CUSTOMER_00284,147,1,60.79,4,1,2,412
CUSTOMER_00285,68,1,39.339999999999996,5,1,1,511
CUSTOMER_00286,227,1,176.78,3,1,4,314
CUSTOMER_00287,175,1,245.35,3,1,5,315
CUSTOMER_00288,284,1,89.77,2,1,3,213
CUSTOMER_00289,43,1,33.92,5,1,1,511
CUSTOMER_00290,453,1,96.88000000000001,1,1,3,113
CUSTOMER_00291,375,1,70.14,1,1,2,112
CUSTOMER_00292,177,1,150.17,3,1,4,314
CUSTOMER_00293,347,1,161.37,2,1,4,214
CUSTOMER_00294,190,1,53.1,3,1,1,311
CUSTOMER_00295,230,1,29.0,3,1,1,311
CUSTOMER_00296,75,1,49.49,5,1,1,511
CUSTOMER_00297,440,1,49.1,1,1,1,111
CUSTOMER_00298,214,1,83.14,3,1,2,312
CUSTOMER_00299,140,1,128.76,4,1,4,414
CUSTOMER_00300,263,1,205.46,2,1,5,215
CUSTOMER_00301,68,1,203.68,5,1,5,515
CUSTOMER_00302,168,1,72.98,4,1,2,412
CUSTOMER_00303,119,1,246.99000000000004,4,1,5,415
CUSTOMER_00304,244,1,118.46000000000001,3,1,3,313
CUSTOMER_00305,24,1,135.84,5,1,4,514
CUSTOMER_00306,192,1,143.83,3,1,4,314
CUSTOMER_00307,659,1,48.550000000000004,1,1,1,111
CUSTOMER_00308,316,1,494.67,2,1,5,215
CUSTOMER_00309,225,1,387.68,3,1,5,315
CUSTOMER_00310,359,1,33.239999999999995,2,1,1,211
CUSTOMER_00311,181,1,195.91,3,1,4,314
CUSTOMER_00312,248,1,71.14,3,1,2,312
CUSTOMER_00313,150,1,72.47999999999999,4,1,2,412
CUSTOMER_00314,438,1,155.63,1,1,4,114
CUSTOMER_00315,83,1,297.83,5,1,5,515
CUSTOMER_00316,238,1,31.75,3,1,1,311
CUSTOMER_00317,248,1,133.48000000000002,3,1,4,314
CUSTOMER_00318,311,1,34.53,2,1,1,211
CUSTOMER_00319,137,1,114.53999999999999,4,1,3,413
CUSTOMER_00320,547,1,87.9,1,1,3,113
CUSTOMER_00321,168,1,151.99,4,1,4,414
CUSTOMER_00322,33,1,72.17,5,1,2,512
CUSTOMER_00323,60,1,214.0,5,1,5,515
CUSTOMER_00324,104,1,149.82,4,1,4,414
CUSTOMER_00325,146,1,46.260000000000005,4,1,1,411
CUSTOMER_00326,12,1,35.14,5,1,1,511
CUSTOMER_00327,42,1,31.9,5,1,1,511
CUSTOMER_00328,44,1,714.35,5,1,5,515
CUSTOMER_00329,539,1,169.86,1,1,4,114
CUSTOMER_00330,273,1,118.92999999999999,2,1,3,213
CUSTOMER_00331,492,1,145.11,1,1,4,114
CUSTOMER_00332,164,1,77.57,4,1,2,412
CUSTOMER_00333,368,1,33.69,2,1,1,211
CUSTOMER_00334,465,1,65.89,1,1,2,112
CUSTOMER_00335,255,1,116.85000000000001,2,1,3,213
CUSTOMER_00336,366,1,64.89999999999999,2,1,2,212
CUSTOMER_00337,658,1,87.9,1,1,3,113
CUSTOMER_00338,97,1,113.22,4,1,3,413
CUSTOMER_00339,167,1,30.72,4,1,1,411
CUSTOMER_00340,27,1,188.63,5,1,4,514
CUSTOMER_00341,315,1,231.39000000000001,2,1,5,215
CUSTOMER_00342,239,1,58.62,3,1,2,312
CUSTOMER_00343,194,1,262.27,3,1,5,315
CUSTOMER_00344,48,1,151.14000000000001,5,1,4,514
CUSTOMER_00345,126,1,66.74,4,1,2,412
CUSTOMER_00346,35,1,42.83,5,1,1,511
CUSTOMER_00347,57,1,24.38,5,1,1,511
CUSTOMER_00348,506,1,86.22,1,1,3,113
CUSTOMER_00349,249,1,101.34,3,1,3,313
CUSTOMER_00350,451,1,42.09,1,1,1,111
CUSTOMER_00351,76,1,110.67,5,1,3,513
CUSTOMER_00352,73,1,163.24,5,1,4,514
CUSTOMER_00353,345,1,194.48,2,1,4,214
CUSTOMER_00354,39,1,92.53999999999999,5,1,3,513
CUSTOMER_00355,246,1,176.87,3,1,4,314
CUSTOMER_00356,118,1,41.22,4,1,1,411
CUSTOMER_00357,406,1,46.69,1,1,1,111
CUSTOMER_00358,367,1,237.98,2,1,5,215
CUSTOMER_00359,276,1,33.65,2,1,1,211
CUSTOMER_00360,244,1,168.20000000000002,3,1,4,314
CUSTOMER_00361,337,1,47.69,2,1,1,211
CUSTOMER_00362,417,1,48.269999999999996,1,1,1,111
CUSTOMER_00363,90,1,37.129999999999995,5,1,1,511
CUSTOMER_00364,442,1,156.03,1,1,4,114
CUSTOMER_00365,171,1,159.3,4,1,4,414
CUSTOMER_00366,398,1,170.32,1,1,4,114
CUSTOMER_00367,543,1,149.95,1,1,4,114
CUSTOMER_00368,74,1,177.89000000000001,5,1,4,514
CUSTOMER_00369,537,1,136.57,1,1,4,114
CUSTOMER_00370,120,1,191.13,4,1,4,414
CUSTOMER_00371,498,1,223.66000000000003,1,1,5,115
CUSTOMER_00372,516,1,52.77,1,1,1,111
CUSTOMER_00373,76,1,84.57,5,1,2,512
CUSTOMER_00374,112,1,146.48,4,1,4,414
CUSTOMER_00375,138,1,124.85,4,1,3,413
CUSTOMER_00376,224,1,167.81,3,1,4,314
CUSTOMER_00377,412,1,230.11,1,1,5,115
CUSTOMER_00378,181,1,61.379999999999995,3,1,2,312
CUSTOMER_00379,238,1,195.0,3,1,4,314
CUSTOMER_00380,357,1,65.17,2,1,2,212
CUSTOMER_00381,104,1,187.87,4,1,4,414
CUSTOMER_00382,405,1,882.46,1,1,5,115
CUSTOMER_00383,278,1,167.29,2,1,4,214
CUSTOMER_00384,363,1,74.16,2,1,2,212
CUSTOMER_00385,248,1,185.86,3,1,4,314
CUSTOMER_00386,412,1,54.0,1,1,1,111
CUSTOMER_00387,410,1,206.36,1,1,5,115
CUSTOMER_00388,248,1,62.41,3,1,2,312
CUSTOMER_00389,329,1,61.44,2,1,2,212
CUSTOMER_00390,83,1,93.85000000000001,5,1,3,513
CUSTOMER_00391,47,1,96.62,5,1,3,513
CUSTOMER_00392,495,1,60.64,1,1,2,112
CUSTOMER_00393,103,1,78.78,4,1,2,412
CUSTOMER_00394,40,1,191.84,5,1,4,514
CUSTOMER_00395,448,1,81.72,1,1,2,112
CUSTOMER_00396,532,1,96.88000000000001,1,1,3,113
CUSTOMER_00397,15,1,96.88,5,1,3,513
CUSTOMER_00398,356,1,100.33,2,1,3,213
CUSTOMER_00399,284,1,112.61000000000001,2,1,3,213
CUSTOMER_00400,120,1,171.87,4,1,4,414
CUSTOMER_00401,261,1,57.300000000000004,2,1,2,212
CUSTOMER_00402,246,1,47.42,3,1,1,311
CUSTOMER_00403,106,1,106.56,4,1,3,413
CUSTOMER_00404,12,1,62.82,5,1,2,512
CUSTOMER_00405,152,1,215.8,4,1,5,415
CUSTOMER_00406,258,1,45.0,2,1,1,211
CUSTOMER_00407,41,1,188.89000000000001,5,1,4,514
CUSTOMER_00408,150,1,142.21,4,1,4,414
CUSTOMER_00409,467,1,43.42,1,1,1,111
CUSTOMER_00410,81,1,52.78,5,1,1,511
CUSTOMER_00411,475,1,237.62,1,1,5,115
CUSTOMER_00412,178,1,158.68,3,1,4,314
CUSTOMER_00413,28,1,88.69,5,1,3,513
CUSTOMER_00414,66,1,127.0,5,1,3,513
CUSTOMER_00415,307,1,43.54,2,1,1,211
CUSTOMER_00416,97,1,61.44,4,1,2,412
CUSTOMER_00417,501,1,56.42,1,1,2,112
CUSTOMER_00418,83,1,126.64,5,1,3,513
CUSTOMER_00419,190,1,129.91,3,1,4,314
CUSTOMER_00420,337,1,77.57,2,1,2,212
CUSTOMER_00421,237,1,76.66,3,1,2,312
CUSTOMER_00422,185,1,20.55,3,1,1,311
CUSTOMER_00423,160,1,38.8,4,1,1,411
CUSTOMER_00424,545,1,423.15999999999997,1,1,5,115
CUSTOMER_00425,54,1,68.88,5,1,2,512
CUSTOMER_00426,81,1,128.48,5,1,4,514
CUSTOMER_00427,102,1,83.25,4,1,2,412
CUSTOMER_00428,166,1,79.56,4,1,2,412
CUSTOMER_00429,242,1,28.75,3,1,1,311
CUSTOMER_00430,150,1,82.39,4,1,2,412
CUSTOMER_00431,11,1,116.79,5,1,3,513
CUSTOMER_00432,315,1,89.75,2,1,3,213
CUSTOMER_00433,158,1,74.96000000000001,4,1,2,412
CUSTOMER_00434,213,1,147.15,3,1,4,314
CUSTOMER_00435,395,1,59.239999999999995,1,1,2,112
CUSTOMER_00436,368,1,356.13,2,1,5,215
CUSTOMER_00437,46,1,63.17,5,1,2,512
CUSTOMER_00438,485,1,98.21000000000001,1,1,3,113
CUSTOMER_00439,383,1,94.3,1,1,3,113
CUSTOMER_00440,127,1,144.66,4,1,4,414
CUSTOMER_00441,327,1,144.56,2,1,4,214
CUSTOMER_00442,149,1,108.32000000000001,4,1,3,413
CUSTOMER_00443,400,1,45.62,1,1,1,111
CUSTOMER_00444,248,1,112.71000000000001,3,1,3,313
CUSTOMER_00445,78,1,162.04000000000002,5,1,4,514
CUSTOMER_00446,60,1,303.46,5,1,5,515
CUSTOMER_00447,193,1,42.62,3,1,1,311
CUSTOMER_00448,363,1,328.59999999999997,2,1,5,215
CUSTOMER_00449,460,1,49.42,1,1,1,111
CUSTOMER_00450,231,1,70.27,3,1,2,312
CUSTOMER_00451,377,1,62.230000000000004,1,1,2,112
CUSTOMER_00452,485,1,117.12,1,1,3,113
CUSTOMER_00453,176,1,144.76,3,1,4,314
CUSTOMER_00454,186,1,53.01,3,1,1,311
CUSTOMER_00455,140,1,65.82,4,1,2,412
CUSTOMER_00456,455,1,72.78,1,1,2,112
CUSTOMER_00457,55,1,167.86,5,1,4,514
CUSTOMER_00458,117,1,93.03,4,1,3,413
CUSTOMER_00459,13,1,189.26,5,1,4,514
CUSTOMER_00460,167,1,77.24000000000001,4,1,2,412
CUSTOMER_00461,333,1,46.84,2,1,1,211
CUSTOMER_00462,133,1,78.32,4,1,2,412
CUSTOMER_00463,250,1,170.19,2,1,4,214
CUSTOMER_00464,366,1,125.85000000000001,2,1,3,213
CUSTOMER_00465,149,1,107.78,4,1,3,413
CUSTOMER_00466,502,1,86.09,1,1,3,113
CUSTOMER_00467,185,1,100.21000000000001,3,1,3,313
CUSTOMER_00468,120,1,1600.51,4,1,5,415
CUSTOMER_00469,328,1,62.17,2,1,2,212
CUSTOMER_00470,195,1,213.37,3,1,5,315
CUSTOMER_00471,119,1,255.28,4,1,5,415
CUSTOMER_00472,196,1,79.33,3,1,2,312
CUSTOMER_00473,286,1,372.07,2,1,5,215
CUSTOMER_00474,76,1,794.34,5,1,5,515
CUSTOMER_00475,154,1,104.76,4,1,3,413
CUSTOMER_00476,18,1,158.74,5,1,4,514
CUSTOMER_00477,414,1,318.34000000000003,1,1,5,115
CUSTOMER_00478,406,1,76.57,1,1,2,112
CUSTOMER_00479,249,1,56.78,3,1,2,312
CUSTOMER_00480,122,1,70.27,4,1,2,412
CUSTOMER_00481,27,1,142.55,5,1,4,514
CUSTOMER_00482,37,1,119.79,5,1,3,513
CUSTOMER_00483,152,1,96.37,4,1,3,413
CUSTOMER_00484,342,1,155.14,2,1,4,214
CUSTOMER_00485,273,1,101.2,2,1,3,213
CUSTOMER_00486,97,1,111.85,4,1,3,413
CUSTOMER_00487,325,1,480.4,2,1,5,215
CUSTOMER_00488,396,1,132.01999999999998,1,1,4,114
CUSTOMER_00489,478,1,1003.76,1,1,5,115
CUSTOMER_00490,342,1,65.0,2,1,2,212
CUSTOMER_00491,78,1,55.93,5,1,2,512
CUSTOMER_00492,189,1,64.18,3,1,2,312
CUSTOMER_00493,437,1,325.12,1,1,5,115
CUSTOMER_00494,104,1,148.49,4,1,4,414
CUSTOMER_00495,413,1,19.68,1,1,1,111
CUSTOMER_00496,55,1,116.06,5,1,3,513
CUSTOMER_00497,362,1,32.089999999999996,2,1,1,211
CUSTOMER_00498,365,1,180.77,2,1,4,214
CUSTOMER_00499,271,1,209.48000000000002,2,1,5,215
CUSTOMER_00500,412,1,115.44999999999999,1,1,3,113
