Order_id,Payment_sequential,Payment_type,Payment_installments,Payment_value
ORDER_56364,1,credit_card,2,26.68
ORDER_09098,1,credit_card,6,225.71
ORDER_50092,1,credit_card,3,103.79
ORDER_10106,1,boleto,1,65.0
ORDER_78154,2,voucher,1,69.8
ORDER_86431,2,voucher,1,20.09
ORDER_46235,1,credit_card,1,125.41
ORDER_79733,1,boleto,1,95.99
ORDER_71613,1,credit_card,2,25.33
ORDER_53744,1,credit_card,2,145.58
ORDER_56566,1,credit_card,3,49.7
ORDER_18108,1,credit_card,1,47.43
ORDER_48828,1,credit_card,2,168.57
ORDER_48675,2,voucher,1,1.23
ORDER_56789,1,boleto,1,123.82
ORDER_64590,1,credit_card,3,283.66
ORDER_36424,1,credit_card,1,89.88
ORDER_57661,1,boleto,1,32.38
ORDER_36921,1,credit_card,1,43.08
ORDER_03602,1,credit_card,1,254.58
ORDER_00281,2,voucher,1,48.91
ORDER_12495,1,credit_card,4,48.22
ORDER_79791,1,credit_card,10,311.18
ORDER_01418,1,credit_card,4,154.14
ORDER_71465,1,credit_card,2,333.68
ORDER_40968,1,boleto,1,404.88
ORDER_22474,1,boleto,1,44.77
ORDER_52460,1,credit_card,1,186.39
ORDER_14427,1,credit_card,10,208.41
ORDER_25959,1,debit_card,1,76.39
ORDER_31055,1,credit_card,2,67.42
ORDER_09053,1,credit_card,4,232.05
ORDER_66400,1,boleto,1,69.33
ORDER_68315,1,credit_card,3,641.2
ORDER_56052,1,boleto,1,41.86
ORDER_36132,1,voucher,1,50.0
ORDER_12569,1,credit_card,1,106.96
ORDER_14166,1,credit_card,10,2288.31
ORDER_43326,1,boleto,1,88.08
ORDER_47264,1,credit_card,4,117.39
ORDER_14546,1,debit_card,1,194.91
ORDER_10088,1,credit_card,2,151.51
ORDER_48559,1,credit_card,1,54.85
ORDER_53137,1,credit_card,1,103.68
ORDER_73378,1,debit_card,1,225.63
ORDER_07846,1,boleto,1,39.6
ORDER_05361,1,credit_card,10,159.18
ORDER_78508,1,boleto,1,44.83
ORDER_10033,1,credit_card,4,205.44
ORDER_32290,1,credit_card,1,13.55
ORDER_56265,1,credit_card,1,221.96
ORDER_34079,1,credit_card,1,52.38
ORDER_79104,1,credit_card,9,131.47
ORDER_19740,1,credit_card,2,38.06
ORDER_07814,2,voucher,1,35.0
ORDER_09380,1,credit_card,3,143.65
ORDER_63503,1,credit_card,3,86.73
ORDER_51845,1,credit_card,1,341.58
ORDER_80551,1,credit_card,2,105.42
ORDER_20417,1,credit_card,4,68.16
ORDER_26818,1,credit_card,10,357.97
ORDER_27716,3,voucher,1,2.99
ORDER_86209,1,boleto,1,92.57
ORDER_59048,1,credit_card,13,197.23
ORDER_34618,1,credit_card,3,153.67
ORDER_71302,1,credit_card,4,102.03
ORDER_60098,1,credit_card,5,119.45
ORDER_13389,1,credit_card,1,44.23
ORDER_87248,1,credit_card,1,67.5
ORDER_75113,5,voucher,1,8.75
ORDER_24463,1,credit_card,2,44.27
ORDER_15682,1,credit_card,2,114.13
ORDER_09643,1,credit_card,1,396.97
ORDER_75806,1,credit_card,10,185.85
ORDER_09805,1,credit_card,3,62.11
ORDER_48302,1,credit_card,5,153.22
ORDER_52282,1,debit_card,1,145.01
ORDER_81813,1,boleto,1,70.89
ORDER_09924,1,credit_card,6,114.34
ORDER_84506,1,credit_card,2,31.38
ORDER_59205,1,credit_card,5,256.5
ORDER_03802,1,boleto,1,341.4
ORDER_81829,1,credit_card,1,143.99
ORDER_32896,1,voucher,1,84.88
ORDER_86132,1,credit_card,8,232.27
ORDER_31754,1,credit_card,5,194.0
ORDER_28580,1,credit_card,1,260.57
ORDER_64423,1,credit_card,1,49.59
ORDER_14201,1,boleto,1,245.94
ORDER_11254,2,voucher,1,72.42
ORDER_10328,1,credit_card,2,217.15
ORDER_02824,1,credit_card,4,152.28
ORDER_22848,1,credit_card,3,72.34
ORDER_84836,1,credit_card,5,128.95
ORDER_59600,1,credit_card,1,56.85
ORDER_29101,1,credit_card,1,85.82
ORDER_81122,1,boleto,1,56.05
ORDER_75133,1,boleto,1,26.09
ORDER_02244,1,credit_card,1,41.17
ORDER_78689,1,boleto,1,37.25
ORDER_82782,1,credit_card,5,477.45
ORDER_52315,1,credit_card,1,67.7
ORDER_67931,1,boleto,1,168.51
ORDER_24206,1,boleto,1,31.86
ORDER_43338,1,boleto,1,40.87
ORDER_22861,1,credit_card,10,109.59
ORDER_31379,1,credit_card,3,206.87
ORDER_83826,1,credit_card,1,134.38
ORDER_49071,1,credit_card,1,56.06
ORDER_22492,1,credit_card,3,264.08
ORDER_46413,1,credit_card,10,240.77
ORDER_74266,1,credit_card,4,49.01
ORDER_11113,1,boleto,1,107.87
ORDER_73278,1,credit_card,3,62.01
ORDER_33636,1,credit_card,1,36.69
ORDER_85194,1,credit_card,3,35.0
ORDER_24290,1,credit_card,8,256.37
ORDER_77922,1,credit_card,1,47.84
ORDER_17321,1,credit_card,5,125.87
ORDER_77271,1,credit_card,1,42.39
ORDER_07183,1,credit_card,5,117.53
ORDER_30530,1,credit_card,4,144.54
ORDER_30141,1,boleto,1,126.48
ORDER_26436,1,credit_card,4,125.29
ORDER_18800,1,credit_card,1,124.6
ORDER_11139,1,boleto,1,143.86
ORDER_85815,1,voucher,1,56.89
ORDER_49489,1,boleto,1,46.78
ORDER_24490,8,voucher,1,3.98
ORDER_01843,1,credit_card,3,72.66
ORDER_55890,1,boleto,1,50.1
ORDER_00636,1,boleto,1,85.79
ORDER_33099,1,boleto,1,63.7
ORDER_10418,1,credit_card,10,1586.47
ORDER_73578,1,credit_card,3,433.07
ORDER_20959,1,credit_card,10,642.02
ORDER_71314,1,credit_card,4,263.95
ORDER_56170,1,boleto,1,134.99
ORDER_40577,1,credit_card,1,57.89
ORDER_83696,1,credit_card,1,383.99
ORDER_54529,1,boleto,1,159.31
ORDER_70113,1,credit_card,1,756.91
ORDER_58273,1,credit_card,7,156.22
ORDER_53408,1,credit_card,10,132.95
ORDER_29538,1,boleto,1,48.27
ORDER_34746,1,credit_card,5,107.35
ORDER_51500,1,credit_card,10,110.2
ORDER_61543,1,credit_card,8,368.92
ORDER_65109,1,boleto,1,106.85
ORDER_20391,1,credit_card,8,281.5
ORDER_40053,1,credit_card,5,121.78
ORDER_03002,1,credit_card,2,102.26
ORDER_79051,1,boleto,1,75.69
ORDER_34075,1,debit_card,1,42.86
ORDER_70501,1,credit_card,1,35.7
ORDER_37474,1,credit_card,10,444.25
ORDER_23928,1,credit_card,1,69.16
ORDER_10550,2,voucher,1,30.0
ORDER_65582,1,credit_card,2,65.71
ORDER_73316,1,credit_card,1,29.29
ORDER_22119,1,credit_card,1,37.74
ORDER_55195,2,voucher,1,30.0
ORDER_06520,1,credit_card,2,145.9
ORDER_22360,1,credit_card,1,79.88
ORDER_67882,1,credit_card,5,108.0
ORDER_24527,1,credit_card,6,348.74
ORDER_01632,1,credit_card,6,88.78
ORDER_73252,1,credit_card,6,125.77
ORDER_78485,1,credit_card,3,64.05
ORDER_15422,1,boleto,1,127.69
ORDER_18893,1,credit_card,1,62.42
ORDER_83598,1,credit_card,5,55.69
ORDER_51811,1,credit_card,7,146.13
ORDER_82432,1,credit_card,5,349.99
ORDER_08661,1,credit_card,1,91.28
ORDER_60644,1,boleto,1,108.64
ORDER_00187,1,credit_card,1,20.75
ORDER_28599,1,boleto,1,72.9
ORDER_54469,1,credit_card,3,543.83
ORDER_72646,1,credit_card,2,67.12
ORDER_69062,1,credit_card,6,139.07
ORDER_53015,1,boleto,1,126.68
ORDER_48479,1,credit_card,1,41.42
ORDER_63316,1,credit_card,8,540.02
ORDER_69710,1,boleto,1,368.6
ORDER_31440,1,credit_card,4,107.78
ORDER_54387,1,credit_card,10,387.27
ORDER_07976,1,credit_card,2,101.25
ORDER_86355,1,credit_card,1,26.09
ORDER_73074,1,boleto,1,244.35
ORDER_61126,1,credit_card,10,117.85
ORDER_30477,1,credit_card,3,171.32
ORDER_67477,1,credit_card,10,202.44
ORDER_72439,1,boleto,1,73.03
ORDER_80954,1,credit_card,4,264.67
ORDER_64445,1,credit_card,1,68.7
ORDER_12973,1,boleto,1,55.13
ORDER_78155,1,credit_card,2,92.99
ORDER_39895,1,credit_card,3,36.0
ORDER_75485,1,credit_card,1,17.87
ORDER_48428,1,credit_card,1,58.38
ORDER_79181,2,voucher,1,50.0
ORDER_12579,1,credit_card,10,1995.69
ORDER_24349,1,credit_card,3,130.14
ORDER_75290,1,boleto,1,710.23
ORDER_67753,1,credit_card,1,68.0
ORDER_34927,1,credit_card,5,59.51
ORDER_37277,1,credit_card,5,371.94
ORDER_21128,1,credit_card,10,667.99
ORDER_36607,1,credit_card,1,63.89
ORDER_01942,1,credit_card,1,354.64
ORDER_40294,1,credit_card,4,59.71
ORDER_47591,1,credit_card,8,408.66
ORDER_46800,1,credit_card,5,51.66
ORDER_43601,1,credit_card,2,386.46
ORDER_66432,1,credit_card,2,69.54
ORDER_58201,1,credit_card,1,21.94
ORDER_57959,1,credit_card,1,52.34
ORDER_18486,1,credit_card,1,114.25
ORDER_24253,1,credit_card,2,162.83
ORDER_82442,1,credit_card,1,172.92
ORDER_78377,1,credit_card,7,81.72
ORDER_78913,1,credit_card,4,243.62
ORDER_38186,1,boleto,1,56.42
ORDER_44402,1,credit_card,4,45.13
ORDER_85078,1,boleto,1,108.64
ORDER_16360,1,credit_card,4,64.51
ORDER_37942,1,credit_card,8,193.5
ORDER_27918,1,credit_card,1,41.71
ORDER_01007,1,credit_card,1,54.43
ORDER_40395,1,credit_card,3,77.64
ORDER_79174,1,boleto,1,280.08
ORDER_68294,1,credit_card,5,101.34
ORDER_24912,1,credit_card,1,77.57
ORDER_33781,1,credit_card,4,60.2
ORDER_43718,1,boleto,1,48.1
ORDER_43365,1,boleto,1,76.02
ORDER_57901,1,credit_card,2,84.56
ORDER_01559,2,voucher,1,20.0
ORDER_12644,1,debit_card,1,265.41
ORDER_35611,1,credit_card,5,127.53
ORDER_39355,1,credit_card,2,128.73
ORDER_21790,1,credit_card,5,150.15
ORDER_33629,1,credit_card,2,36.16
ORDER_63726,1,credit_card,4,198.0
ORDER_33067,1,credit_card,5,112.4
ORDER_02322,1,credit_card,1,35.4
ORDER_02628,1,credit_card,6,189.98
ORDER_66055,1,credit_card,2,228.6
ORDER_11897,1,credit_card,8,314.21
ORDER_12316,1,credit_card,1,22.29
ORDER_46417,1,credit_card,8,257.3
ORDER_17348,1,credit_card,6,162.99
ORDER_85214,1,credit_card,12,190.09
ORDER_56111,1,credit_card,5,53.15
ORDER_17857,1,credit_card,2,88.2
ORDER_37699,2,voucher,1,25.9
ORDER_47880,1,credit_card,1,46.81
ORDER_58316,1,boleto,1,131.47
ORDER_47363,1,credit_card,3,258.71
ORDER_78512,1,credit_card,1,84.23
ORDER_04091,1,credit_card,10,156.73
ORDER_34241,1,boleto,1,69.9
ORDER_43844,1,boleto,1,48.13
ORDER_78381,1,credit_card,6,187.15
ORDER_63787,1,credit_card,3,69.99
ORDER_22256,1,credit_card,2,162.1
ORDER_17869,1,credit_card,1,57.11
ORDER_31200,1,credit_card,1,154.87
ORDER_74315,1,credit_card,4,236.81
ORDER_58370,1,credit_card,1,102.53
ORDER_75096,1,credit_card,3,65.1
ORDER_75560,1,boleto,1,93.64
ORDER_86067,1,boleto,1,64.09
ORDER_26087,1,credit_card,5,279.4
ORDER_83145,1,credit_card,5,205.43
ORDER_51253,1,credit_card,4,89.57
ORDER_40534,1,boleto,1,75.07
ORDER_11275,1,credit_card,4,63.23
ORDER_21966,1,credit_card,1,0.52
ORDER_43215,1,credit_card,10,231.27
ORDER_21866,1,boleto,1,41.69
ORDER_40402,1,credit_card,4,69.41
ORDER_02554,1,credit_card,1,72.75
ORDER_64701,1,credit_card,5,88.49
ORDER_58640,1,credit_card,7,71.66
ORDER_72011,1,credit_card,2,80.81
ORDER_62051,1,credit_card,7,394.07
ORDER_27667,1,credit_card,2,165.5
ORDER_01366,1,credit_card,2,49.77
ORDER_19006,1,credit_card,8,180.91
ORDER_48586,1,credit_card,4,40.63
ORDER_33344,1,debit_card,1,71.63
ORDER_01683,1,credit_card,5,262.94
ORDER_50572,1,credit_card,3,62.22
ORDER_76601,1,credit_card,5,311.57
ORDER_48069,1,debit_card,1,93.22
ORDER_66157,1,boleto,1,100.21
ORDER_68391,1,credit_card,4,125.43
ORDER_37089,1,boleto,1,80.55
ORDER_08407,1,credit_card,2,373.44
ORDER_53817,1,credit_card,3,62.31
ORDER_29376,1,debit_card,1,36.35
ORDER_10521,1,credit_card,2,29.38
ORDER_43875,1,credit_card,10,102.47
ORDER_20661,1,credit_card,3,130.0
ORDER_86683,1,credit_card,5,69.13
ORDER_19731,1,credit_card,1,86.24
ORDER_12301,1,credit_card,1,74.29
ORDER_13263,1,credit_card,7,70.72
ORDER_50761,1,credit_card,3,199.0
ORDER_66719,1,credit_card,4,48.74
ORDER_14703,1,credit_card,2,28.08
ORDER_82486,1,voucher,1,59.9
ORDER_76722,1,credit_card,1,166.29
ORDER_45438,1,boleto,1,51.1
ORDER_11391,1,credit_card,1,67.83
ORDER_45553,1,credit_card,3,164.35
ORDER_35123,1,boleto,1,79.09
ORDER_08510,1,credit_card,2,59.82
ORDER_42848,1,credit_card,3,159.03
ORDER_33729,1,credit_card,9,92.57
ORDER_06415,1,credit_card,8,453.74
ORDER_52886,1,credit_card,3,234.08
ORDER_81060,1,credit_card,2,67.62
ORDER_07421,1,credit_card,1,19.33
ORDER_65252,1,credit_card,3,143.18
ORDER_12852,1,boleto,1,85.92
ORDER_68822,1,credit_card,4,102.05
ORDER_53753,1,credit_card,3,134.12
ORDER_82665,1,credit_card,1,112.13
ORDER_53175,1,credit_card,1,70.75
ORDER_21093,1,credit_card,7,77.6
ORDER_42221,1,credit_card,1,197.04
ORDER_85577,1,credit_card,1,93.18
ORDER_23506,1,boleto,1,44.72
ORDER_65539,1,credit_card,1,26.38
ORDER_52829,1,debit_card,1,149.14
ORDER_50101,1,credit_card,4,106.32
ORDER_30660,1,credit_card,8,246.96
ORDER_80567,1,credit_card,1,22.29
ORDER_68143,1,credit_card,3,57.48
ORDER_11476,1,credit_card,4,105.28
ORDER_38624,1,credit_card,8,203.54
ORDER_66408,1,credit_card,2,330.4
ORDER_35466,1,boleto,1,108.68
ORDER_00789,1,boleto,1,415.93
ORDER_86321,1,credit_card,10,314.21
ORDER_56488,1,credit_card,1,206.08
ORDER_18253,1,credit_card,1,27.7
ORDER_28403,1,boleto,1,19.48
ORDER_65876,1,credit_card,2,121.09
ORDER_31722,1,credit_card,1,206.76
ORDER_57381,1,credit_card,1,142.21
ORDER_27656,1,boleto,1,73.34
ORDER_71311,1,credit_card,1,72.62
ORDER_64831,1,credit_card,1,86.24
ORDER_80168,1,boleto,1,230.1
ORDER_36580,1,boleto,1,212.73
ORDER_87429,1,credit_card,1,94.82
ORDER_28760,1,boleto,1,126.44
ORDER_59434,2,voucher,1,140.08
ORDER_60178,1,credit_card,1,68.87
ORDER_55036,1,credit_card,2,87.58
ORDER_35351,1,credit_card,10,305.19
ORDER_56810,1,credit_card,5,161.88
ORDER_31604,1,debit_card,1,88.08
ORDER_68451,1,credit_card,3,92.5
ORDER_88019,1,credit_card,1,43.0
ORDER_06353,1,credit_card,2,116.36
ORDER_83802,1,boleto,1,64.48
ORDER_62507,1,boleto,1,37.69
ORDER_58722,1,credit_card,2,150.52
ORDER_06026,1,credit_card,8,396.35
ORDER_16198,2,debit_card,1,98.33
ORDER_63779,1,credit_card,1,120.92
ORDER_00435,1,credit_card,1,76.17
ORDER_27103,1,credit_card,1,104.43
ORDER_55797,1,credit_card,3,110.04
ORDER_64865,1,boleto,1,730.95
ORDER_05928,1,credit_card,8,82.1
ORDER_07133,1,boleto,1,53.39
ORDER_87684,1,credit_card,3,61.79
ORDER_16846,1,boleto,1,86.83
ORDER_14032,1,credit_card,1,25.5
ORDER_63968,2,voucher,1,103.79
ORDER_09567,1,credit_card,6,114.28
ORDER_69142,1,credit_card,2,57.78
ORDER_60182,1,credit_card,1,124.15
ORDER_29500,1,credit_card,3,64.1
ORDER_40317,1,credit_card,10,179.92
ORDER_13301,1,boleto,1,40.01
ORDER_23435,1,credit_card,5,104.27
ORDER_60279,1,credit_card,8,307.96
ORDER_28413,1,credit_card,2,31.29
ORDER_26133,1,credit_card,1,38.13
ORDER_72783,1,voucher,1,52.01
ORDER_24819,1,credit_card,1,35.05
ORDER_43154,1,credit_card,8,186.49
ORDER_43384,1,credit_card,4,99.95
ORDER_35975,1,credit_card,4,215.62
ORDER_88063,1,credit_card,3,206.2
ORDER_22242,1,boleto,1,55.06
ORDER_66011,1,credit_card,1,21.04
ORDER_61987,1,credit_card,1,26.45
ORDER_87024,1,credit_card,1,127.53
ORDER_80823,1,credit_card,10,223.14
ORDER_58052,1,credit_card,2,56.41
ORDER_69335,1,boleto,1,566.63
ORDER_62372,1,credit_card,6,148.64
ORDER_32536,1,credit_card,4,64.0
ORDER_71749,1,credit_card,3,151.09
ORDER_01300,1,boleto,1,93.91
ORDER_65150,1,credit_card,2,71.14
ORDER_09629,1,credit_card,3,188.06
ORDER_34897,1,credit_card,8,181.1
ORDER_54549,1,boleto,1,202.26
ORDER_38771,1,credit_card,3,164.15
ORDER_48975,1,credit_card,10,137.13
ORDER_02558,1,credit_card,1,2.01
ORDER_73364,1,boleto,1,272.58
ORDER_21471,1,credit_card,4,87.36
ORDER_79690,5,voucher,1,16.54
ORDER_63780,1,credit_card,4,234.19
ORDER_64454,1,boleto,1,33.0
ORDER_25968,1,credit_card,1,10.89
ORDER_74948,1,credit_card,4,84.14
ORDER_33268,1,boleto,1,43.28
ORDER_01625,1,credit_card,1,47.95
ORDER_71603,1,boleto,1,76.08
ORDER_55249,1,boleto,1,104.37
ORDER_81293,1,credit_card,1,69.61
ORDER_61270,1,credit_card,3,121.09
ORDER_04837,1,credit_card,4,181.59
ORDER_35005,1,credit_card,2,135.26
ORDER_01436,1,credit_card,3,51.09
ORDER_57402,1,credit_card,3,145.01
ORDER_44944,1,credit_card,10,231.27
ORDER_11856,1,boleto,1,70.03
ORDER_48159,1,credit_card,10,1432.92
ORDER_32021,1,voucher,1,45.24
ORDER_82868,2,voucher,1,50.0
ORDER_08259,1,credit_card,6,148.18
ORDER_28282,1,credit_card,1,171.53
ORDER_75377,1,credit_card,3,86.15
ORDER_69654,1,debit_card,1,22.79
ORDER_71812,1,credit_card,2,58.16
ORDER_11584,1,boleto,1,149.42
ORDER_70879,1,credit_card,1,44.53
ORDER_37139,1,credit_card,2,152.82
ORDER_36602,1,credit_card,8,82.92
ORDER_11089,1,boleto,1,66.69
ORDER_41936,1,boleto,1,52.75
ORDER_34425,1,credit_card,5,105.94
ORDER_12775,1,credit_card,8,413.31
ORDER_57984,1,credit_card,3,112.09
ORDER_10124,1,credit_card,4,186.36
ORDER_17239,1,credit_card,3,165.22
ORDER_61649,1,credit_card,2,205.07
ORDER_11610,1,credit_card,1,21.04
ORDER_09174,1,credit_card,2,132.68
ORDER_46663,1,credit_card,1,36.09
ORDER_50887,1,boleto,1,66.44
ORDER_76466,1,boleto,1,161.62
ORDER_22712,1,credit_card,1,27.75
ORDER_66409,1,credit_card,1,91.28
ORDER_26767,2,voucher,1,81.93
ORDER_24640,1,credit_card,2,167.92
ORDER_01400,1,credit_card,1,61.36
ORDER_61069,1,credit_card,2,60.0
ORDER_19119,1,credit_card,3,39.01
ORDER_54528,1,credit_card,3,39.78
ORDER_83323,1,credit_card,2,64.23
ORDER_72463,1,credit_card,4,186.92
ORDER_69465,1,credit_card,2,43.29
ORDER_20873,1,credit_card,1,59.13
ORDER_80314,1,credit_card,3,33.51
ORDER_60257,1,debit_card,1,33.1
ORDER_65415,1,voucher,1,148.06
ORDER_25341,1,credit_card,2,189.56
ORDER_22446,1,credit_card,5,105.38
ORDER_79905,1,boleto,1,69.06
ORDER_54949,1,voucher,1,85.24
ORDER_79544,1,credit_card,1,168.35
ORDER_53990,2,voucher,1,100.0
ORDER_83780,1,credit_card,1,77.89
ORDER_71172,1,credit_card,1,99.43
ORDER_18101,1,credit_card,1,407.9
ORDER_29670,3,voucher,1,15.0
ORDER_30255,1,credit_card,3,157.2
ORDER_29244,1,credit_card,4,162.03
