Seller_id,Recency,Frequency,Total,R,F,M,RFM_score
SELLER_0173,286,3,1546.84,1,2,3,123
SELLER_0174,517,7,1130.11,1,3,3,133
SELLER_0175,19,212,40104.57,4,5,5,455
SELLER_0176,451,1,98.9,1,1,1,111
SELLER_0177,17,37,4198.9,4,5,4,454
SELLER_0178,8,15,14306.91,5,4,5,545
SELLER_0179,297,2,436.11,1,1,2,112
SELLER_0180,8,92,10881.58,5,5,5,555
SELLER_0181,62,1,54.98,3,1,1,311
SELLER_0182,116,8,1292.8600000000001,2,3,3,233
SELLER_0183,34,35,5275.11,4,4,4,444
SELLER_0184,24,9,809.84,4,3,3,433
SELLER_0185,85,7,1758.38,3,3,4,334
SELLER_0186,8,21,1894.23,5,4,4,544
SELLER_0187,534,1,27.86,1,1,1,111
SELLER_0188,49,1,1038.9,3,1,3,313
SELLER_0189,57,2,149.3,3,1,1,311
SELLER_0190,52,2,139.49,3,1,1,311
SELLER_0191,54,1,42.05,3,1,1,311
SELLER_0192,442,3,250.41000000000003,1,2,2,122
SELLER_0193,229,2,63.58,2,1,1,211
SELLER_0194,122,2,484.8,2,1,2,212
SELLER_0195,13,5,194.88,4,2,1,421
SELLER_0196,242,8,997.14,2,3,3,233
SELLER_0197,502,1,55.72,1,1,1,111
SELLER_0198,40,4,239.10000000000002,3,2,2,322
SELLER_0199,117,78,3772.27,2,5,4,254
SELLER_0200,92,4,741.02,2,2,3,223
SELLER_0201,17,1,37.54,4,1,1,411
SELLER_0202,56,4,171.78,3,2,1,321
SELLER_0203,250,4,224.68,1,2,2,122
SELLER_0204,28,3,100.50999999999999,4,2,1,421
SELLER_0205,39,15,2301.98,3,4,4,344
SELLER_0206,185,1,72.96,2,1,1,211
SELLER_0207,10,86,11030.37,5,5,5,555
SELLER_0208,53,1,48.94,3,1,1,311
SELLER_0209,327,3,445.53000000000003,1,2,2,122
SELLER_0210,468,1,468.8,1,1,2,112
SELLER_0211,11,83,6865.51,5,5,5,555
SELLER_0212,114,4,469.61,2,2,2,222
SELLER_0213,100,2,184.22,2,1,1,211
SELLER_0214,5,508,107311.06,5,5,5,555
SELLER_0215,7,114,17263.93,5,5,5,555
SELLER_0216,34,68,10154.23,4,5,5,455
SELLER_0217,25,23,3003.83,4,4,4,444
SELLER_0218,27,21,1774.54,4,4,4,444
SELLER_0219,36,4,212.24,3,2,2,322
SELLER_0220,258,1,136.3,1,1,1,111
SELLER_0221,89,5,1960.97,3,2,4,324
SELLER_0222,98,1,208.4,2,1,2,212
SELLER_0223,284,1,174.68,1,1,1,111
SELLER_0224,4,10,411.74,5,3,2,532
SELLER_0225,32,28,5440.99,4,4,5,445
SELLER_0226,13,2,53.599999999999994,4,1,1,411
SELLER_0227,12,5,209.23000000000002,5,2,2,522
SELLER_0228,75,1,249.08,3,1,2,312
SELLER_0229,22,13,1928.62,4,4,4,444
SELLER_0230,77,21,1223.19,3,4,3,343
SELLER_0231,29,1,282.47,4,1,2,412
SELLER_0232,74,67,6799.26,3,5,5,355
SELLER_0233,132,3,100.78,2,2,1,221
SELLER_0234,230,236,20228.18,2,5,5,255
SELLER_0235,15,102,7507.82,4,5,5,455
SELLER_0236,38,4,647.65,3,2,3,323
SELLER_0237,102,9,6289.4,2,3,5,235
SELLER_0238,39,1,20.189999999999998,3,1,1,311
SELLER_0239,209,3,910.8299999999999,2,2,3,223
SELLER_0240,384,3,235.11,1,2,2,122
SELLER_0241,7,134,15234.26,5,5,5,555
SELLER_0242,70,2,315.11,3,1,2,312
SELLER_0243,77,6,879.92,3,3,3,333
SELLER_0244,7,70,7095.83,5,5,5,555
SELLER_0245,1,332,24393.149999999998,5,5,5,555
SELLER_0246,7,323,42805.6,5,5,5,555
SELLER_0247,260,4,214.82,1,2,2,122
SELLER_0248,14,251,29934.47,4,5,5,455
SELLER_0249,12,82,24004.22,5,5,5,555
SELLER_0250,2,191,9693.81,5,5,5,555
SELLER_0251,7,27,3008.01,5,4,4,544
SELLER_0252,182,28,4336.62,2,4,4,244
SELLER_0253,20,37,5359.81,4,5,4,454
SELLER_0254,525,7,772.8299999999999,1,3,3,133
SELLER_0255,25,1,81.78,4,1,1,411
SELLER_0256,6,119,15005.98,5,5,5,555
SELLER_0257,11,8,749.45,5,3,3,533
SELLER_0258,41,38,1507.0,3,5,3,353
SELLER_0259,389,1,43.0,1,1,1,111
SELLER_0260,12,9,628.71,5,3,3,533
SELLER_0261,197,1,159.86,2,1,1,211
SELLER_0262,128,127,15613.9,2,5,5,255
SELLER_0263,19,18,809.71,4,4,3,443
SELLER_0264,322,2,161.24,1,1,1,111
SELLER_0265,10,1,98.32,5,1,1,511
SELLER_0266,204,13,2137.98,2,4,4,244
SELLER_0267,12,182,10498.95,5,5,5,555
SELLER_0268,10,15,1824.19,5,4,4,544
SELLER_0269,248,1,56.04,1,1,1,111
SELLER_0270,6,53,5350.49,5,5,4,554
SELLER_0271,39,6,276.03999999999996,3,3,2,332
SELLER_0272,5,11,7053.52,5,3,5,535
SELLER_0273,168,5,1602.42,2,2,3,223
SELLER_0274,131,1,1759.04,2,1,4,214
SELLER_0275,35,4,436.34,3,2,2,322
SELLER_0276,182,27,1559.73,2,4,3,243
SELLER_0277,155,8,886.37,2,3,3,233
SELLER_0278,10,3,772.1,5,2,3,523
SELLER_0279,293,10,705.56,1,3,3,133
SELLER_0280,533,1,63.519999999999996,1,1,1,111
SELLER_0281,68,8,1802.8000000000002,3,3,4,334
SELLER_0282,6,7,2799.5,5,3,4,534
SELLER_0283,347,1,53.85,1,1,1,111
SELLER_0284,57,1,166.05,3,1,1,311
SELLER_0285,48,1,376.57,3,1,2,312
SELLER_0286,54,66,9925.07,3,5,5,355
SELLER_0287,6,69,9594.54,5,5,5,555
SELLER_0288,57,4,1213.03,3,2,3,323
SELLER_0289,38,17,3518.51,3,4,4,344
SELLER_0290,5,994,30636.86,5,5,5,555
SELLER_0291,254,1,45.089999999999996,1,1,1,111
SELLER_0292,15,65,19294.86,4,5,5,455
SELLER_0293,41,14,2444.61,3,4,4,344
SELLER_0294,24,11,3567.8599999999997,4,3,4,434
SELLER_0295,260,1,106.39,1,1,1,111
SELLER_0296,89,167,22936.83,3,5,5,355
SELLER_0297,104,58,4012.08,2,5,4,254
SELLER_0298,108,8,1465.73,2,3,3,233
SELLER_0299,13,63,7994.87,4,5,5,455
SELLER_0300,34,14,7953.46,4,4,5,445
SELLER_0301,493,1,305.69,1,1,2,112
SELLER_0302,41,23,4021.08,3,4,4,344
SELLER_0303,164,1,167.62,2,1,1,211
SELLER_0304,89,2,71.36,3,1,1,311
SELLER_0305,39,2,110.12,3,1,1,311
SELLER_0306,5,3,249.98000000000002,5,2,2,522
SELLER_0307,435,11,628.63,1,3,3,133
SELLER_0308,464,4,767.3199999999999,1,2,3,123
SELLER_0309,511,1,110.3,1,1,1,111
SELLER_0310,400,23,5694.2,1,4,5,145
SELLER_0311,663,2,129.16,1,1,1,111
SELLER_0312,326,1,66.28,1,1,1,111
SELLER_0313,553,7,3615.27,1,3,4,134
SELLER_0314,92,2,84.25999999999999,2,1,1,211
SELLER_0315,17,1,68.35,4,1,1,411
SELLER_0316,10,3,335.17999999999995,5,2,2,522
SELLER_0317,77,1,92.9,3,1,1,311
SELLER_0318,127,1,50.230000000000004,2,1,1,211
SELLER_0319,77,8,7186.89,3,3,5,335
SELLER_0320,40,17,2349.91,3,4,4,344
SELLER_0321,447,2,80.13,1,1,1,111
SELLER_0322,126,3,108.02,2,2,1,221
SELLER_0323,255,1,2028.75,1,1,4,114
SELLER_0324,12,83,14076.19,5,5,5,555
SELLER_0325,62,3,1249.52,3,2,3,323
SELLER_0326,76,2,246.65,3,1,2,312
SELLER_0327,5,180,12384.5,5,5,5,555
SELLER_0328,39,6,554.99,3,3,2,332
SELLER_0329,442,5,2459.8199999999997,1,2,4,124
SELLER_0330,10,18,4524.2699999999995,5,4,4,544
SELLER_0331,48,6,1463.69,3,3,3,333
SELLER_0332,55,6,615.57,3,3,3,333
SELLER_0333,98,157,13718.460000000001,2,5,5,255
SELLER_0334,10,88,5878.57,5,5,5,555
SELLER_0335,7,149,6287.349999999999,5,5,5,555
SELLER_0336,10,4,260.13,5,2,2,522
SELLER_0337,337,9,681.27,1,3,3,133
SELLER_0338,7,22,807.53,5,4,3,543
SELLER_0339,5,20,2342.87,5,4,4,544
SELLER_0340,5,1387,145757.98,5,5,5,555
SELLER_0341,65,4,481.38,3,2,2,322
SELLER_0342,138,7,2986.87,2,3,4,234
SELLER_0343,6,64,7183.84,5,5,5,555
SELLER_0344,143,11,422.31,2,3,2,232
SELLER_0345,22,14,876.3100000000001,4,4,3,443
SELLER_0346,15,20,8394.24,4,4,5,445
SELLER_0347,24,2,221.69,4,1,2,412
SELLER_0348,253,1,34.0,1,1,1,111
SELLER_0349,77,6,2078.13,3,3,4,334
SELLER_0350,75,2,136.26,3,1,1,311
SELLER_0351,246,1,36.839999999999996,2,1,1,211
SELLER_0352,287,1,27.009999999999998,1,1,1,111
SELLER_0353,10,5,119.95,5,2,1,521
SELLER_0354,183,3,758.7,2,2,3,223
SELLER_0355,15,3,642.1600000000001,4,2,3,423
SELLER_0356,84,6,556.81,3,3,2,332
SELLER_0357,529,1,471.05,1,1,2,112
SELLER_0358,89,8,435.96000000000004,3,3,2,332
SELLER_0359,363,1,37.089999999999996,1,1,1,111
SELLER_0360,14,3,133.39,4,2,1,421
SELLER_0361,149,43,2952.22,2,5,4,254
SELLER_0362,12,2,564.14,5,1,2,512
SELLER_0363,207,10,599.13,2,3,2,232
SELLER_0364,291,1,147.35,1,1,1,111
SELLER_0365,44,37,2893.37,3,5,4,354
SELLER_0366,376,2,75.1,1,1,1,111
SELLER_0367,207,1,106.35,2,1,1,211
SELLER_0368,5,35,5432.070000000001,5,4,5,545
SELLER_0369,155,65,11404.01,2,5,5,255
SELLER_0370,8,185,51544.89,5,5,5,555
SELLER_0371,426,1,96.10000000000001,1,1,1,111
SELLER_0372,15,6,691.6,4,3,3,433
SELLER_0373,11,198,31319.97,5,5,5,555
SELLER_0374,140,1,309.32,2,1,2,212
SELLER_0375,11,8,1775.26,5,3,4,534
SELLER_0376,134,3,101.38,2,2,1,221
SELLER_0377,41,11,1401.69,3,3,3,333
SELLER_0378,19,8,525.33,4,3,2,432
SELLER_0379,203,9,3729.14,2,3,4,234
SELLER_0380,44,6,258.7,3,3,2,332
SELLER_0381,34,1,57.47,4,1,1,411
SELLER_0382,30,58,7620.5,4,5,5,455
SELLER_0383,15,6,995.0799999999999,4,3,3,433
SELLER_0384,26,1,116.05,4,1,1,411
SELLER_0385,26,16,3602.21,4,4,4,444
SELLER_0386,79,1,928.6999999999999,3,1,3,313
SELLER_0387,17,66,10230.87,4,5,5,455
SELLER_0388,167,2,834.9399999999999,2,1,3,213
SELLER_0389,41,11,9799.45,3,3,5,335
SELLER_0390,10,73,6314.43,5,5,5,555
SELLER_0391,19,81,9396.21,4,5,5,455
SELLER_0392,525,2,785.75,1,1,3,113
SELLER_0393,167,5,397.94,2,2,2,222
SELLER_0394,7,1,244.34,5,1,2,512
SELLER_0395,315,1,76.08,1,1,1,111
SELLER_0396,33,8,1038.59,4,3,3,433
SELLER_0397,220,2,105.75,2,1,1,211
SELLER_0398,31,178,15934.85,4,5,5,455
SELLER_0399,31,31,1597.6299999999999,4,4,3,443
SELLER_0400,8,7,4782.96,5,3,4,534
SELLER_0401,319,4,3762.08,1,2,4,124
SELLER_0402,143,7,7694.88,2,3,5,235
SELLER_0403,128,6,1658.0900000000001,2,3,4,234
SELLER_0404,168,5,235.25,2,2,2,222
SELLER_0405,31,10,494.67999999999995,4,3,2,432
SELLER_0406,21,27,3574.6499999999996,4,4,4,444
SELLER_0407,14,30,7629.28,4,4,5,445
SELLER_0408,509,3,147.3,1,2,1,121
SELLER_0409,426,9,1202.19,1,3,3,133
SELLER_0410,55,2,420.74,3,1,2,312
SELLER_0411,5,33,2037.25,5,4,4,544
SELLER_0412,209,2,410.75,2,1,2,212
SELLER_0413,41,159,10788.69,3,5,5,355
SELLER_0414,20,131,11203.22,4,5,5,455
SELLER_0415,31,230,22449.010000000002,4,5,5,455
SELLER_0416,285,6,765.74,1,3,3,133
SELLER_0417,4,1873,136989.35,5,5,5,555
SELLER_0418,45,33,14175.74,3,4,5,345
SELLER_0419,51,5,784.23,3,2,3,323
SELLER_0420,57,10,574.76,3,3,2,332
SELLER_0421,6,33,3624.01,5,4,4,544
SELLER_0422,4,186,57076.78,5,5,5,555
SELLER_0423,456,1,70.92999999999999,1,1,1,111
SELLER_0424,7,6,1001.2199999999999,5,3,3,533
SELLER_0425,110,54,1995.16,2,5,4,254
SELLER_0426,12,5,1704.4399999999998,5,2,4,524
SELLER_0427,14,12,2627.6,4,4,4,444
SELLER_0428,358,1,53.72,1,1,1,111
SELLER_0429,17,4,687.92,4,2,3,423
SELLER_0430,38,14,1677.81,3,4,4,344
SELLER_0431,30,9,918.33,4,3,3,433
SELLER_0432,128,4,299.44,2,2,2,222
SELLER_0433,334,4,210.57,1,2,2,122
SELLER_0434,318,2,183.89,1,1,1,111
SELLER_0435,7,13,1212.3400000000001,5,4,3,543
SELLER_0436,66,24,2229.36,3,4,4,344
SELLER_0437,85,2,106.46000000000001,3,1,1,311
SELLER_0438,447,4,354.60999999999996,1,2,2,122
SELLER_0439,297,2,183.94,1,1,1,111
SELLER_0440,9,96,7716.34,5,5,5,555
SELLER_0441,20,120,16878.72,4,5,5,455
SELLER_0442,508,1,126.34,1,1,1,111
SELLER_0443,463,17,2607.78,1,4,4,144
SELLER_0444,26,14,704.4200000000001,4,4,3,443
SELLER_0445,35,2,214.84,3,1,2,312
SELLER_0446,20,192,24342.74,4,5,5,455
SELLER_0447,35,25,12232.89,3,4,5,345
SELLER_0448,11,42,4114.12,5,5,4,554
SELLER_0449,5,5,491.86,5,2,2,522
SELLER_0450,660,1,31.92,1,1,1,111
SELLER_0451,238,10,551.89,2,3,2,232
SELLER_0452,37,145,14456.23,3,5,5,355
SELLER_0453,238,18,2474.55,2,4,4,244
SELLER_0454,50,19,4562.97,3,4,4,344
SELLER_0455,321,2,369.77,1,1,2,112
SELLER_0456,118,2,52.269999999999996,2,1,1,211
SELLER_0457,432,1,6726.66,1,1,5,115
SELLER_0458,526,1,24.96,1,1,1,111
SELLER_0459,5,250,33202.41,5,5,5,555
SELLER_0460,227,5,178.01,2,2,1,221
SELLER_0461,290,6,404.93,1,3,2,132
SELLER_0462,14,6,800.64,4,3,3,433
SELLER_0463,188,17,6339.51,2,4,5,245
SELLER_0464,68,47,3060.45,3,5,4,354
SELLER_0465,376,3,291.62,1,2,2,122
SELLER_0466,494,2,104.87,1,1,1,111
SELLER_0467,40,133,17745.09,3,5,5,355
SELLER_0468,12,2,356.9,5,1,2,512
SELLER_0469,153,4,389.22,2,2,2,222
SELLER_0470,7,1,37.51,5,1,1,511
SELLER_0471,155,2,165.63,2,1,1,211
SELLER_0472,258,3,219.22,1,2,2,122
SELLER_0473,3,11,557.46,5,3,2,532
SELLER_0474,160,1,97.78,2,1,1,211
SELLER_0475,84,13,966.25,3,4,3,343
SELLER_0476,12,4,346.76,5,2,2,522
SELLER_0477,451,8,955.48,1,3,3,133
SELLER_0478,125,6,427.05,2,3,2,232
SELLER_0479,175,1,97.0,2,1,1,211
SELLER_0480,262,2,558.0699999999999,1,1,2,112
SELLER_0481,6,313,35417.77,5,5,5,555
SELLER_0482,3,72,8681.88,5,5,5,555
SELLER_0483,5,37,7498.95,5,5,5,555
SELLER_0484,63,1,90.03999999999999,3,1,1,311
SELLER_0485,41,8,432.74,3,3,2,332
SELLER_0486,29,4,165.16,4,2,1,421
SELLER_0487,8,1,26.310000000000002,5,1,1,511
SELLER_0488,270,3,730.0400000000001,1,2,3,123
SELLER_0489,7,532,186563.31,5,5,5,555
SELLER_0490,176,21,2337.01,2,4,4,244
SELLER_0491,266,53,3037.31,1,5,4,154
SELLER_0492,84,3,827.97,3,2,3,323
SELLER_0493,305,22,803.6700000000001,1,4,3,143
SELLER_0494,345,2,1038.22,1,1,3,113
SELLER_0495,39,14,9255.619999999999,3,4,5,345
SELLER_0496,241,3,1487.88,2,2,3,223
SELLER_0497,103,1,222.1,2,1,2,212
SELLER_0498,7,1,82.68,5,1,1,511
SELLER_0499,195,25,1119.62,2,4,3,243
SELLER_0500,11,3,277.64,5,2,2,522
SELLER_0501,549,1,107.9,1,1,1,111
SELLER_0502,4,40,14199.07,5,5,5,555
SELLER_0503,156,3,127.99000000000001,2,2,1,221
SELLER_0504,56,64,20181.23,3,5,5,355
SELLER_0505,53,11,1523.58,3,3,3,333
SELLER_0506,101,1,85.27000000000001,2,1,1,211
SELLER_0507,52,1,925.38,3,1,3,313
SELLER_0508,176,1,135.49,2,1,1,211
SELLER_0509,47,14,647.75,3,4,3,343
SELLER_0510,127,14,1710.3700000000001,2,4,4,244
SELLER_0511,54,21,4273.78,3,4,4,344
SELLER_0512,162,67,13723.939999999999,2,5,5,255
SELLER_0513,187,10,2845.12,2,3,4,234
SELLER_0514,27,174,9643.61,4,5,5,455
SELLER_0515,390,1,19.74,1,1,1,111
SELLER_0516,6,11,575.67,5,3,2,532
SELLER_0517,79,1,63.29,3,1,1,311
SELLER_0518,6,78,6198.01,5,5,5,555
SELLER_0519,2,11,713.8199999999999,5,3,3,533
SELLER_0520,34,19,2277.48,4,4,4,444
SELLER_0521,16,62,6872.34,4,5,5,455
SELLER_0522,10,7,1028.6100000000001,5,3,3,533
SELLER_0523,36,28,7244.14,3,4,5,345
SELLER_0524,134,1,98.34,2,1,1,211
SELLER_0525,198,15,1872.15,2,4,4,244
SELLER_0526,144,19,1793.71,2,4,4,244
SELLER_0527,281,3,73.37,1,2,1,121
SELLER_0528,7,288,46152.96,5,5,5,555
SELLER_0529,13,4,426.67,4,2,2,422
SELLER_0530,58,40,3182.71,3,5,4,354
SELLER_0531,15,3,509.6000000000001,4,2,2,422
SELLER_0532,52,1,250.88,3,1,2,312
SELLER_0533,1,398,17156.1,5,5,5,555
SELLER_0534,180,9,892.54,2,3,3,233
SELLER_0535,84,7,1945.29,3,3,4,334
SELLER_0536,5,2,136.38,5,1,1,511
SELLER_0537,73,4,1057.32,3,2,3,323
SELLER_0538,138,1,50.129999999999995,2,1,1,211
SELLER_0539,2,50,4334.54,5,5,4,554
SELLER_0540,7,7,5330.450000000001,5,3,4,534
SELLER_0541,391,16,1149.86,1,4,3,143
SELLER_0542,8,42,5075.39,5,5,4,554
SELLER_0543,11,23,5096.25,5,4,4,544
SELLER_0544,9,22,2587.0299999999997,5,4,4,544
SELLER_0545,112,21,8946.34,2,4,5,245
SELLER_0546,25,2,275.76,4,1,2,412
SELLER_0547,151,1,111.91,2,1,1,211
SELLER_0548,6,6,494.75,5,3,2,532
SELLER_0549,192,2,385.41999999999996,2,1,2,212
SELLER_0550,450,1,370.69,1,1,2,112
SELLER_0551,398,2,76.22,1,1,1,111
SELLER_0552,5,75,11987.41,5,5,5,555
